,name,ioc,sex,hand,rank,ht,age,tourPlayed,maxAceSvpt,avgDfSvpt,1sv2svWon,bpS_bpF,win_ratio
0,Aaron Addison,AUS,m,R,1398.0,186.54,24.0,5,6.03,6.95,57.24,61.81,18.18
1,Abbie Myers,AUS,f,R,436.0,173.92,26.0,5,3.06,7.32,49.14,41.58,0.0
2,Abhinav Sanjeev Shanmugam,IND,m,U,918.0,186.54,21.0,5,4.06,4.72,59.64,61.79,46.67
3,Abigail Spears,USA,f,R,493.22,173.92,37.0,8,3.52,4.41,53.44,48.6,0.0
4,Abigail Tere Apisah,PNG,f,U,530.0,173.92,26.0,12,0.76,5.11,52.57,55.29,57.14
5,Adam El Mihdawy,USA,m,U,800.0,186.54,29.0,14,2.87,11.09,53.27,43.97,26.09
6,Adam Majchrowicz,POL,m,U,1297.88,186.54,25.0,7,2.86,5.59,51.07,45.06,0.0
7,Adam Pavlasek,CZE,m,R,529.0,186.54,26.0,64,7.91,3.61,59.55,55.2,53.19
8,Adelchi Virgili,ITA,m,U,1505.0,186.54,29.0,15,2.37,8.66,57.26,54.61,44.83
9,Adil Kalyanpur,IND,m,R,1309.0,186.54,20.0,5,1.21,5.49,54.68,47.94,0.0
10,Adrian Andreev,BUL,m,R,330.0,186.54,20.0,15,0.95,5.1,55.41,42.63,40.0
11,Adrian Andrzejczuk,POL,m,U,1253.0,186.54,22.0,2,0.98,8.17,53.63,49.87,20.0
12,Adrian Bodmer,SUI,m,R,1122.0,186.54,24.0,11,2.44,4.68,58.01,53.18,26.32
13,Adrian Mannarino,FRA,m,L,50.0,183.0,32.0,65,9.44,3.43,60.57,55.31,52.15
14,Adrian Menendez Maceiras,ESP,m,R,317.0,186.54,35.0,97,7.32,3.16,60.66,55.83,50.74
15,Adrian Ungur,ROU,m,R,305.27,178.0,33.0,30,1.5,4.75,57.55,50.61,42.19
16,Adrien Bossel,SUI,m,L,1821.0,186.54,31.0,24,2.98,4.45,61.03,51.87,46.94
17,Adrien Puget,FRA,m,R,337.12,186.54,25.0,5,1.8,6.81,56.47,57.33,37.5
18,Agnieszka Radwanska,POL,f,R,11.11,170.0,29.0,29,4.4,2.66,56.31,52.0,65.25
19,Agustin Velotti,ARG,m,R,440.0,186.54,29.0,62,3.73,3.84,58.08,54.06,50.33
20,Aidan Mchugh,GBR,m,U,374.0,186.54,21.0,7,4.84,4.89,53.35,52.83,37.5
21,Aisam Ul Haq Qureshi,PAK,m,R,-1.0,183.0,39.0,7,1.1,5.15,64.65,65.5,50.0
22,Ajla Tomljanovic,AUS,f,R,43.0,180.0,28.0,56,6.35,6.38,54.28,50.34,51.27
23,Akgul Amanmuradova,UZB,f,R,537.0,173.92,37.0,12,1.44,5.27,46.59,43.44,23.53
24,Akiko Omae,JPN,f,R,378.0,173.92,27.0,10,1.12,4.53,46.09,38.85,9.09
25,Akira Santillan,AUS,m,R,319.0,186.54,24.0,90,12.76,4.59,61.22,56.27,49.77
26,Alastair Gray,GBR,m,R,557.0,186.54,22.0,7,1.64,7.13,54.82,49.73,9.09
27,Albano Olivetti,FRA,m,R,1132.0,203.0,27.0,26,14.05,9.43,64.8,65.65,47.22
28,Albert Alcaraz Ivorra,ESP,m,R,957.0,186.54,21.0,3,1.62,3.52,58.91,53.71,50.0
29,Albert Montanes,ESP,m,R,131.63,175.0,36.0,25,3.26,5.15,61.34,48.64,49.02
30,Albert Ramos,ESP,m,L,43.0,188.0,33.0,67,8.49,3.48,60.23,56.35,51.53
31,Alberto Brizzi,ITA,m,R,1120.25,186.54,32.0,5,1.05,5.47,60.26,37.17,37.5
32,Alberto Lim,PHI,m,R,391.0,186.54,18.0,4,1.53,1.06,46.04,40.78,42.86
33,Alberto Romero De Avila Senise,ESP,m,U,852.4,186.54,20.0,5,0.52,4.34,53.58,39.59,40.0
34,Alejandro Davidovich Fokina,ESP,m,R,45.0,183.0,22.0,58,7.86,3.89,59.97,54.67,61.58
35,Alejandro Falla,COL,m,L,235.24,185.0,33.0,34,3.04,4.78,56.72,48.26,43.28
36,Alejandro Gomez Gb42,COL,m,U,484.0,186.54,29.0,29,11.08,7.49,60.39,51.56,45.31
37,Alejandro Gonzalez,COL,m,R,447.0,186.54,32.0,82,2.48,3.09,57.12,49.89,44.15
38,Alejandro Mendoza,BOL,m,R,925.0,186.54,31.0,14,1.88,11.97,48.49,40.25,5.56
39,Alejandro Moro Canas,ESP,m,U,610.0,186.54,20.0,2,1.48,6.13,56.12,50.91,50.0
40,Alejandro Tabilo,CHI,m,L,174.0,186.54,24.0,54,7.79,6.89,57.87,54.15,53.62
41,Aleksandar Kovacevic,USA,m,U,352.0,186.54,22.0,16,6.43,5.16,62.89,61.23,41.03
42,Aleksandar Vukic,AUS,m,R,193.0,186.54,25.0,69,12.67,4.02,61.68,57.95,52.2
43,Aleksandr Nedovyesov,KAZ,m,R,540.0,186.54,34.0,65,6.44,3.73,59.67,52.9,51.47
44,Aleksandra Krunic,SRB,f,R,140.0,173.92,28.0,57,6.81,3.81,52.92,48.71,52.36
45,Aleksandra Wozniak,CAN,f,R,534.64,175.0,30.0,10,0.72,9.83,45.73,46.26,14.29
46,Aleksandre Metreveli,GEO,m,R,578.0,186.54,27.0,16,1.91,6.0,52.74,44.8,32.14
47,Aleksandrina Naydenova,BUL,f,R,310.94,173.92,26.0,22,2.61,8.25,49.83,53.36,27.27
48,Alen Avidzba,RUS,m,R,588.0,186.54,20.0,29,4.79,5.47,59.98,54.04,38.0
49,Alessandro Bega,ITA,m,R,379.0,186.54,30.0,69,2.31,3.88,56.81,53.17,37.58
50,Alessandro Coppini,ITA,m,U,1486.0,186.54,20.0,3,3.94,8.27,47.41,35.97,0.0
51,Alessandro Giannessi,ITA,m,L,194.0,183.0,31.0,89,4.79,4.65,57.98,53.49,53.92
52,Alessandro Petrone,ITA,m,R,1031.0,186.54,27.0,11,1.76,3.56,54.73,55.99,35.0
53,Alex Bolt,AUS,m,L,132.0,186.54,28.0,64,11.19,3.52,61.78,58.55,56.62
54,Alex Kobelt,USA,m,U,1821.0,186.54,22.0,3,6.1,8.8,55.64,51.21,0.0
55,Alex Kuznetsov,USA,m,R,344.25,183.0,29.0,9,5.81,1.99,63.0,60.12,64.29
56,Alex Lawson,USA,m,L,1518.0,191.0,27.0,13,3.32,7.18,54.66,35.75,16.67
57,Alex Marti Pujolras,ESP,m,U,524.0,186.54,22.0,3,0.39,2.79,54.92,39.9,50.0
58,Alex Molcan,SVK,m,L,114.0,186.54,23.0,52,4.33,5.26,58.43,55.2,58.71
59,Alex Rybakov,USA,m,U,353.0,186.54,24.0,21,4.83,2.91,62.34,60.48,50.0
60,Alexa Glatch,USA,f,R,285.0,173.92,31.0,10,0.93,3.54,51.42,49.7,31.25
61,Alexa Guarachi,USA,f,U,470.73,173.92,30.0,17,2.28,7.5,47.05,46.79,27.27
62,Alexandar Lazarov,BUL,m,R,468.0,186.54,23.0,8,1.55,4.62,56.61,52.12,38.1
63,Alexandar Lazov,BUL,m,U,1742.0,186.54,29.0,14,3.17,5.52,58.47,59.07,53.12
64,Alexander Babanine,AUS,m,R,1659.06,186.54,24.0,5,1.35,3.86,58.55,48.35,41.18
65,Alexander Brown,USA,m,U,717.0,186.54,20.0,6,7.06,7.18,65.82,48.22,40.0
66,Alexander Bublik,KAZ,m,R,34.0,196.0,24.0,105,19.36,8.64,61.02,55.53,56.69
67,Alexander Bury,BLR,m,R,991.59,186.54,31.0,15,2.93,4.3,58.16,47.8,37.93
68,Alexander Cozbinov,MDA,m,R,649.0,186.54,26.0,4,1.96,7.39,56.24,47.83,18.18
69,Alexander Erler,AUT,m,U,327.0,186.54,23.0,14,3.53,4.57,58.42,56.81,44.12
70,Alexander Kudryavtsev,RUS,m,R,205.53,183.0,31.0,35,4.69,3.84,59.93,55.82,41.89
71,Alexander Lobkov,RUS,m,R,595.8,186.54,26.0,5,2.6,5.67,58.15,63.28,30.0
72,Alexander Merino,PER,m,L,1454.2,186.54,26.0,4,0.49,7.62,49.19,56.66,20.0
73,Alexander Pavlioutchenkov,RUS,m,R,1409.0,186.54,32.0,5,1.21,8.25,53.81,39.07,0.0
74,Alexander Ritschard,SUI,m,R,260.0,186.54,27.0,32,4.41,4.72,58.46,57.12,50.0
75,Alexander Shevchenko,RUS,m,U,361.0,186.54,20.0,3,1.04,3.85,61.79,57.68,72.73
